Tournament,Total Rounds,Aff Wins,Neg Wins,Aff Win %,Neg Win %
Greenhill,343,170,171,49.56268221574344,49.85422740524781
MidAmerica,589,279,304,47.368421052631575,51.61290322580645
Bronx,997,465,502,46.63991975927783,50.35105315947843
Heart,1316,606,678,46.048632218844986,51.51975683890577
Apple Valley,1780,815,918,45.78651685393258,51.573033707865164
Glenbrooks,2396,1098,1247,45.826377295492485,52.04507512520868
HarvWest,2831,1290,1472,45.566937477923,51.99576121511833
Emory,3337,1533,1724,45.93946658675457,51.66317051243632
Harvard,4226,1939,2172,45.882631329862754,51.3961192617132
Berk,4998,2309,2594,46.198479391756706,51.900760304121654
